LowRank_U	LowRank_V	p7	p8	Top1avgRec	Top1stdRec	Top2avgRec	Top2stdRec	Top3avgRec	Top3stdRec	Top4avgRec	Top4stdRec
  512	    2	0	0.66	0.17556	0.02368	0.37718	0.039031	0.57285	0.02663	0.81798	0.033336
  512	    2	0	0.99	0.20289	0.028487	0.37196	0.029226	0.58182	0.020603	0.81817	0.024815
  512	    2	0.33	0	0.24963	0.019454	0.49507	0.014822	0.71619	0.0063695	0.88628	0.0060408
  512	    2	0.33	0.33	0.24512	0.014336	0.49545	0.011478	0.71576	0.0057918	0.88654	0.005819
  512	    2	0.33	0.66	0.2451	0.0073958	0.49351	0.0072305	0.71548	0.0052209	0.88642	0.0059148
  512	    2	0.33	0.99	0.2581	0.007675	0.50908	0.014377	0.71843	0.0059756	0.88637	0.0056437
  512	    2	0.66	0	0.24547	0.0055174	0.49683	0.0082792	0.71843	0.0056043	0.88654	0.005819
  512	    2	0.66	0.33	0.24327	0.0049802	0.49411	0.0096145	0.71622	0.0060889	0.88654	0.005819
  512	    2	0.66	0.66	0.24641	0.0096097	0.49468	0.0074221	0.7161	0.0062085	0.88654	0.005819
  512	    2	0.66	0.99	0.24842	0.010586	0.49247	0.0062824	0.71617	0.005528	0.8867	0.0058484
  512	    2	0.99	0	0.24471	0.0066651	0.49533	0.0078949	0.71666	0.0066819	0.88654	0.005819
  512	    2	0.99	0.33	0.24428	0.0073319	0.49515	0.0076379	0.71694	0.0069912	0.88654	0.005819
  512	    2	0.99	0.66	0.24381	0.0080205	0.4953	0.0078511	0.7161	0.0062085	0.88654	0.005819
  512	    2	0.99	0.99	0.24362	0.0064562	0.49446	0.009167	0.71573	0.0066246	0.88654	0.005819
  512	    3	0	0	0.13469	0.043439	0.27777	0.049006	0.50112	0.055862	0.76767	0.029612
  512	    3	0	0.33	0.143	0.036659	0.32253	0.019339	0.55414	0.031103	0.8004	0.015228
  512	    3	0	0.66	0.15151	0.0443	0.31604	0.057445	0.5555	0.049597	0.77966	0.057253
  512	    3	0	0.99	0.12277	0.024587	0.27667	0.026513	0.51792	0.027306	0.77788	0.012336
  512	    3	0.33	0	0.2487	0.013511	0.50852	0.019242	0.71616	0.0061474	0.88654	0.005819
  512	    3	0.33	0.33	0.2438	0.026384	0.5046	0.018467	0.71582	0.005801	0.88662	0.0059079
  512	    3	0.33	0.66	0.24501	0.023244	0.49895	0.014862	0.71427	0.0066222	0.88651	0.0058729
  512	    3	0.33	0.99	0.22927	0.034474	0.49651	0.014826	0.71493	0.0074206	0.88613	0.0054106
  512	    3	0.66	0	0.24888	0.0084789	0.5063	0.016811	0.71645	0.0058744	0.88654	0.005819
  512	    3	0.66	0.33	0.23966	0.0078702	0.49159	0.0079635	0.71601	0.0063384	0.88654	0.005819
  512	    3	0.66	0.66	0.25062	0.010049	0.50064	0.010322	0.71803	0.0076068	0.88661	0.005895
  512	    3	0.66	0.99	0.25091	0.012728	0.50782	0.015954	0.71799	0.0054999	0.88654	0.005819
  512	    3	0.99	0	0.2448	0.0061903	0.49374	0.0089558	0.71581	0.005727	0.88654	0.005819
  512	    3	0.99	0.33	0.24392	0.0063738	0.49533	0.0078949	0.71594	0.0064273	0.88654	0.005819
  512	    3	0.99	0.66	0.2498	0.01304	0.49504	0.0077208	0.7161	0.0062085	0.88654	0.005819
  512	    3	0.99	0.99	0.2439	0.0063828	0.49441	0.0084152	0.71736	0.0048339	0.88654	0.005819
  512	    4	0	0	0.097203	0.036129	0.25577	0.051189	0.5148	0.05407	0.80316	0.030283
  512	    4	0	0.33	0.10535	0.02124	0.2512	0.019274	0.47534	0.035894	0.76075	0.040039
  512	    4	0	0.66	0.12449	0.049327	0.29386	0.070986	0.52942	0.037733	0.81199	0.024747
  512	    4	0	0.99	0.10756	0.029006	0.2789	0.033339	0.51879	0.063974	0.80284	0.051325
  512	    4	0.33	0	0.24085	0.022518	0.50178	0.01539	0.71601	0.0062114	0.88668	0.0059867
  512	    4	0.33	0.33	0.23866	0.0086664	0.50613	0.017989	0.71486	0.0058936	0.88654	0.005819
  512	    4	0.33	0.66	0.23357	0.026647	0.49608	0.018391	0.71495	0.0066137	0.88514	0.004906
  512	    4	0.33	0.99	0.2217	0.033587	0.48242	0.028456	0.70716	0.019172	0.88421	0.010487
  512	    4	0.66	0	0.2415	0.0034051	0.49389	0.01066	0.71601	0.0061509	0.88654	0.005819
  512	    4	0.66	0.33	0.23797	0.0063539	0.49838	0.014405	0.71554	0.0051575	0.88654	0.005819
  512	    4	0.66	0.66	0.25439	0.014139	0.49996	0.015529	0.71776	0.0056254	0.88654	0.005819
  512	    4	0.66	0.99	0.24866	0.01501	0.49872	0.014588	0.71604	0.0061203	0.88654	0.005819
  512	    4	0.99	0	0.25416	0.0079071	0.50313	0.012825	0.71744	0.0056516	0.88654	0.005819
  512	    4	0.99	0.33	0.24187	0.0075383	0.49543	0.0051411	0.71762	0.0055839	0.88654	0.005819
  512	    4	0.99	0.66	0.24907	0.0051227	0.49444	0.0066849	0.7161	0.0062085	0.88654	0.005819
  512	    4	0.99	0.99	0.24413	0.007617	0.49724	0.006723	0.71818	0.0058567	0.88654	0.005819
  512	    5	0	0	0.11066	0.021393	0.27916	0.019002	0.49109	0.06106	0.78167	0.036324
  512	    5	0	0.33	0.087407	0.022398	0.25818	0.034086	0.49403	0.030069	0.76956	0.029366
  512	    5	0	0.66	0.070525	0.036168	0.23289	0.027337	0.47514	0.030541	0.78579	0.015859
  512	    5	0	0.99	0.078099	0.016199	0.26592	0.059512	0.53029	0.070138	0.79913	0.034975
  512	    5	0.33	0	0.23836	0.014621	0.49067	0.0092143	0.71594	0.0045191	0.88642	0.0057962
  512	    5	0.33	0.33	0.23671	0.015728	0.4999	0.013844	0.71359	0.0061862	0.88664	0.0059339
  512	    5	0.33	0.66	0.25338	0.017305	0.50166	0.01215	0.71405	0.0079107	0.88642	0.0064036
  512	    5	0.33	0.99	0.2285	0.034282	0.47201	0.048118	0.69864	0.031056	0.87948	0.016974
  512	    5	0.66	0	0.25048	0.0039819	0.49382	0.0041811	0.71576	0.0065869	0.88648	0.0057501
  512	    5	0.66	0.33	0.23548	0.015333	0.48868	0.010267	0.71497	0.0057556	0.88654	0.005819
  512	    5	0.66	0.66	0.2515	0.017548	0.50135	0.018297	0.71698	0.0061201	0.88673	0.0058568
  512	    5	0.66	0.99	0.25496	0.016002	0.50195	0.012551	0.71647	0.0069893	0.88654	0.005819
