Index	ZINCID	InChIKey	SMILES
28	ZINC00000746	XWTYSIMOBUGWOL-NSHDSACASA-O	CC(C)(C)[NH2+]CC(C1=CC(=CC(=C1)O)O)O
29	ZINC00000751	MKJIEFSOBYUXJB-GDBMZVCRSA-O	COc1cc2c(cc1OC)CC[NH+]1[C@@H]2CC(=O)[C@@H](C1)CC(C)C
30	ZINC00000802	RGVPOXRFEPSFGH-AWEZNQCLSA-O	COc1cc(cc(c1OC)OC)C[C@@H]1[NH2+]CCc2c1cc(O)c(c2)O
31	ZINC00000848	FEROPKNOYKURCJ-ZDUSSCGKSA-O	COc1cc(N)c(cc1C(=O)N[C@H]1C[NH+]2CCC1CC2)Cl
32	ZINC00000850	MWLSOWXNZPKENC-ZETCQYMHSA-N	C[C@H](N(O)C(=O)N)c1cc2ccccc2s1
33	ZINC00000853	TVYLLZQTGLZFBW-ZBFHGGJFSA-O	C[NH+](C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
34	ZINC00000857	WZRCQWQRFZITDX-AWEZNQCLSA-O	C1C[NH2+]C(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O
35	ZINC00000860	RPYWXZCFYPVCNQ-RVDMUPIBSA-N	COC1=CC(=C(C=C1)C=C2CCCN=C2C3=CN=CC=C3)OC
36	ZINC00000870	RAUGYAOLAMRLLZ-UHFFFAOYSA-O	CC(=O)C1=CC2=C(C=C1)NC=C2CC[NH3+]
37	ZINC00000883	TVLQBBHUNDMTEC-UHFFFAOYSA-N	CC1(C2=CC3=C(C=C2NC1=O)N=C(N3)C4=CC=NC=C4)C
38	ZINC00000909	SOYCMDCMZDHQFP-UHFFFAOYSA-M	C1=CC=C(C=C1)C(=O)C2=C(C(=CC=C2)CC(=O)[O-])N
39	ZINC00000915	HFQMYSHATTXRTC-JTQLQIEISA-O	Cc1cc(ccc1C[C@@H]([NH3+])C)N(C)C
40	ZINC00000920	ALYNCZNDIQEVRV-UHFFFAOYSA-M	C1=CC(=CC=C1C(=O)[O-])N
41	ZINC00000922	WUBBRNOQWQTFEX-UHFFFAOYSA-M	C1=CC(=C(C=C1N)[O-])C(=O)O
42	ZINC00000931	QWGDMFLQWFTERH-UHFFFAOYSA-O	C1CN(CC[NH2+]1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
43	ZINC00000934	IPZFPROOBOUEIG-UHFFFAOYSA-N	CCCc1ncc(c(n1)N)C[n+]1ccccc1C
44	ZINC00000941	YBBLVLTVTVSKRW-UHFFFAOYSA-N	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
45	ZINC00000999	QCIARNIKNKKHFH-UHFFFAOYSA-N	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCl
46	ZINC00001021	SESFRYSPDFLNCH-UHFFFAOYSA-N	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
47	ZINC00001083	SWUARLUWKZWEBQ-VQHVLOKHSA-N	C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O
48	ZINC00001084	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
49	ZINC00001087	VSJKWCGYPAHWDS-HXUWFJFHSA-N	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
50	ZINC00001099	UCAGLBKTLXCODC-UHFFFAOYSA-M	C1=CC(=CC=C1C(=O)[O-])S(=O)(=O)N
51	ZINC00001131	WDFKMLRRRCGAKS-UHFFFAOYSA-N	C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
52	ZINC00001137	WSPOMRSOLSGNFJ-AUWJEWJLSA-O	C[NH+](C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
53	ZINC00001148	ODQWQRRAPPTVAG-BOPFTXTBSA-O	C[NH+](C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
54	ZINC00001160	YAORIDZYZDUZCM-UHFFFAOYSA-O	C1CC1C2=CC=CC=C2OCC3=[NH+]CCN3
55	ZINC00001187	TXCGAZHTZHNUAI-UHFFFAOYSA-M	CC(C)(C(=O)[O-])OC1=CC=C(C=C1)Cl
56	ZINC00001201	UMUUNOOFZSQLAH-UHFFFAOYSA-M	C1=CC=C2C(=C1)C(=C(C2=O)C3=CC=C(C=C3)Cl)[O-]
57	ZINC00001219	ZZIALNLLNHEQPJ-UHFFFAOYSA-N	C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O
58	ZINC00001233	QMNFFXRFOJIOKZ-UHFFFAOYSA-O	CC1(N=C(NC(=[N+]1C2=CC=C(C=C2)Cl)N)N)C
