Index	ZINCID	InChIKey	SMILES
3975	ZINC03610394	FVOUPQLWOHOBOF-INIZCTEOSA-O	Fc1ccc(cc1)[C@]1(O)c2ccccc2C2=[NH+]CCN12
3976	ZINC03612862	HWJPWWYTGBZDEG-AWEZNQCLSA-N	COC1=C(C2=C(C=CC(O2)C3CC3)C(=C1)CC4=CN=C(N=C4N)N)OC
3977	ZINC03612873	KXSUAWAUCNFBQJ-CQSZACIVSA-N	CCC1(CC2=C(C1)C=C(C=C2)F)C3=CN=CN3
3978	ZINC03613329	PYDAINAPBPYEQW-UHFFFAOYSA-O	C1C[NH+](CCC1NC(=O)CC2=CC=CS2)CC3=CC=CC=C3
3979	ZINC03614431	GOLJCLWIKGHNDS-MRXNPFEDSA-O	O[C@]1(c2ccc(cc2)C(F)(F)F)c2ccccc2C2=[NH+]CCN12
3980	ZINC03614435	GOLJCLWIKGHNDS-INIZCTEOSA-O	O[C@@]1(c2ccc(cc2)C(F)(F)F)c2ccccc2C2=[NH+]CCN12
3981	ZINC03614841	HIXQQSRYYLKPER-MRXNPFEDSA-O	Clc1ccc(cc1Cl)[C@@]1(O)c2ccccc2C2=[NH+]CCN12
3982	ZINC03614844	HIXQQSRYYLKPER-INIZCTEOSA-O	Clc1ccc(cc1Cl)[C@]1(O)c2ccccc2C2=[NH+]CCN12
3983	ZINC03616630	UYNVMODNBIQBMV-IIBYNOLFSA-O	CC(C(C1=CC=C(C=C1)O)O)[NH+]2CCC(CC2)CC3=CC=CC=C3
3984	ZINC03620786	ZFLJHSQHILSNCM-UHFFFAOYSA-N	C1CCC(CC1)NC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)N5CCOCC5
3985	ZINC03625134	DSLSXSSYABXXSB-UHFFFAOYSA-N	OCCNc1nc(Nc2cccc(c2)C)nc(n1)N1CCCC1
3986	ZINC03626195	ZXAICCBFIBBVAR-UHFFFAOYSA-N	C1C2=CC=CC=C2C(=O)N(C1=O)O
3987	ZINC03626312	NKJCLKBBZCIYSJ-UHFFFAOYSA-O	O=C(Nc1ccc2c(c1)c(C)cc([nH+]2)N1CCCCC1)COc1ccc(cc1Cl)Cl
3988	ZINC03626882	SIONQJFIRLZVBE-HHHXNRCGSA-N	CC1=C(C(=O)N(N1)C2=CC=CC=C2)C3(C4=C(CC(CC4=O)(C)C)N(C3=O)C5=CC=C(C=C5)OC)C(F)(F)F
3989	ZINC03626883	SIONQJFIRLZVBE-MHZLTWQESA-N	CC1=C(C(=O)N(N1)C2=CC=CC=C2)C3(C4=C(CC(CC4=O)(C)C)N(C3=O)C5=CC=C(C=C5)OC)C(F)(F)F
3990	ZINC03627988	VGZLFDCJSLGJOG-UHFFFAOYSA-N	C1CCN(CC1)C(=O)C(=O)C2=C(NC3=CC=CC=C32)C4=CC=CC=C4
3991	ZINC03628257	QRHVTJIEPZZTNF-UHFFFAOYSA-N	C1CN2C=CC3=C2C(=CC=C3)C(=O)N1
3992	ZINC03630922	CSHZYWUPJWVTMQ-UHFFFAOYSA-N	CCCCC1=C(C=C(C=C1)O)O
3993	ZINC03630928	YBTGLLRMGKEQCC-KRWDZBQOSA-O	CC(C)[NH2+]CC(COC1=CC=C(C=C1)C2=CC=CC=C2)O
3994	ZINC03630929	YBTGLLRMGKEQCC-QGZVFWFLSA-O	CC(C)[NH2+]CC(COC1=CC=C(C=C1)C2=CC=CC=C2)O
3995	ZINC03632416	AYCFVKGYERYDRT-MRXNPFEDSA-O	O[C@]1(c2ccccc2)c2ccccc2C2=[NH+]CCN12
3996	ZINC03632418	AYCFVKGYERYDRT-INIZCTEOSA-O	O[C@@]1(c2ccccc2)c2ccccc2C2=[NH+]CCN12
3997	ZINC03632919	IIRAUZQVFXYSCK-LLVKDONJSA-O	CCCc1ccc(cc1)C[C@H]([NH2+]C)C
3998	ZINC03632921	IIRAUZQVFXYSCK-NSHDSACASA-O	CCCc1ccc(cc1)C[C@@H]([NH2+]C)C
3999	ZINC03633221	LMBWSYZSUOEYSN-UHFFFAOYSA-M	CCN(CC)C(=S)[S-]
4000	ZINC03633590	DEXXTSDSAGXBAR-UHFFFAOYSA-N	Clc1cccc(c1)Nc1ccnc(n1)N
4001	ZINC03635492	KSKJDFBKCIYONL-UHFFFAOYSA-N	C1=CC=C2C(=C1)C(=CN2)C(=O)C(=O)NCC3=CC=C(C=C3)Br
4002	ZINC03635496	XTLXOIBNXHXNBR-UHFFFAOYSA-N	CCCCNC(=O)C(=O)C1=CNC2=CC=CC=C21
4003	ZINC03637289	NIGIWYGQQJWVST-FMIVXFBMSA-N	C1C(=CC2=CC=C(C=C2)O)C(=O)C3=CC=CC=C3O1
4004	ZINC03638105	DYPLDWLIOGXSSE-UHFFFAOYSA-O	COC(=O)C1=CCC[NH2+]C1
4005	ZINC03639353	UUFAJPMQSFXDFR-NSHDSACASA-O	CC(CC1=CC=CC=C1)[NH2+]CC#C
4006	ZINC03639394	NZMKNKKURNJCLW-UHFFFAOYSA-N	CN(C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)O)C(=O)C2=CC=CC=C2
4007	ZINC03639948	DCKNCBINJDHCQH-MLPAPPSSSA-M	[O-]C(=O)CN1C(=S)S/C(=C\c2ccc(o2)c2cc(ccc2Cl)C(F)(F)F)/C1=O
4008	ZINC03641317	IYNUCVAQGDCTFO-UHFFFAOYSA-P	C1CCC2=[NH+]C3=CC=CC=C3C(=C2C1)NCCCCCCNC4=C5CCCCC5=[NH+]C6=CC=CC=C64
4009	ZINC03642651	VFCXPAQOWQSKLL-UHFFFAOYSA-O	C[NH+](C)CC#CCN1CCCC1=O
4010	ZINC03643214	CMHQDSBIBSKHFP-UHFFFAOYSA-N	OC(=O)C1=CCCN(CCOC(c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(F)(F)F)C1
4011	ZINC03644203	OUJTZYPIHDYQMC-IBGZPJMESA-M	CC1=CC(=NC(=N1)OC(C(=O)[O-])C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C
4012	ZINC03647690	ZHCZZTNIHDWRNS-VKHMYHEASA-O	C([NH3+])[C@@H]1CC(=O)NO1
4013	ZINC03649803	BXVNPOBNVRBOOV-UHFFFAOYSA-O	O=C(C1CCCCC1)Nc1ccc2c(c1)c(C)cc([nH+]2)N1CCOCC1
4014	ZINC03650178	GDSJFNUFUQXAIP-UHFFFAOYSA-O	CC1CCC(CC1)C(=O)Nc1ccc2c(c1)c(C)cc([nH+]2)N1CCN(CC1)c1ncccn1
4015	ZINC03650259	SPOMVKJPPZWHRF-HNNXBMFYSA-O	CCC[NH+]([C@H]1CCc2c(C1)c(OC)ccc2)CCC
4016	ZINC03650260	SPOMVKJPPZWHRF-OAHLLOKOSA-O	CCC[NH+]([C@@H]1CCc2c(C1)c(OC)ccc2)CCC
4017	ZINC03651379	UBNAXKVAGIAFDG-GOSISDBHSA-N	COC1=C(C=C(C=C1)C2CC(=O)N(C2)CC3=CC=C(C=C3)Br)OC4CCCC4
4018	ZINC03653374	GCQYYIHYQMVWLT-HQNLTJAPSA-N	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)C=CBr
4019	ZINC03653378	ODZBBRURCPAEIQ-PIXDULNESA-N	C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O
4020	ZINC03658930	NKEQLZRKLSZCPR-UHFFFAOYSA-N	Oc1ccc2c(c1)oc(=O)c(c2)c1scc(n1)c1cc2ccccc2oc1=O
4021	ZINC03666293	UYNYUNLNRHHFJK-VWLOTQADSA-N	CCC1=CC=C(C=C1)N2C(NC3=CC=CC=C3C2=O)C4=CC=C(C=C4)OCC(C)C
4022	ZINC03666294	UYNYUNLNRHHFJK-RUZDIDTESA-N	CCC1=CC=C(C=C1)N2C(NC3=CC=CC=C3C2=O)C4=CC=C(C=C4)OCC(C)C
4023	ZINC03671450	ZLJCOCPMGGSXRR-UHFFFAOYSA-M	C1CN(CCC1C(=O)[O-])C2=NC(=CS2)C3=CC=C(C=C3)Br
4024	ZINC03675784	QIMWZVMNUAWWSJ-UHFFFAOYSA-N	COC1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2)C=O
4025	ZINC03716177	LWLBVIFUVSUSAY-UHFFFAOYSA-O	C1[NH2+]CCN(C1)c1ccc2c(c1)cccc2
4026	ZINC03716178	SZAOHADKAZDUGT-UHFFFAOYSA-O	O=S(=O)(c1ccccc1)c1ccc(cc1)N1CC[NH2+]CC1
4027	ZINC03716182	JQQVFOBGUYOMQP-UHFFFAOYSA-O	CC(c1ccccc1N1CC[NH2+]CC1)C
4028	ZINC03774999	ZTWZVMIYIIVABD-RZMWZJFBSA-M	COCCOCC(CC1(CCCC1)C(=O)NC2CCC(CC2)C(=O)[O-])C(=O)OC3=CC4=C(CCC4)C=C3
4029	ZINC03775000	ACZWIDANLCXHBM-PCKAHOCUSA-L	COCCOC[C@@H](C(=O)[O-])CC1(CCCC1)C(=O)NC1CCC(CC1)C(=O)[O-]
4030	ZINC03775013	MBERTAKFBYOAHR-IVZWLZJFSA-N	CCCC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
4031	ZINC03775140	DCSUBABJRXZOMT-IRLDBZIGSA-O	CO[C@H]1C[NH+](CCCOc2ccc(cc2)F)CC[C@H]1NC(=O)c1cc(Cl)c(cc1OC)N
4032	ZINC03775575	QBKSWRVVCFFDOT-UHFFFAOYSA-N	CC1=C(C(=C2C(=C1)C(=C(C(=C2C=O)O)O)C(C)C)O)C3=C(C=C4C(=C3O)C(=C(C(=C4C(C)C)O)O)C=O)C
4033	ZINC03775883	QBTQEFMFFFMOJH-DMTCNVIQSA-M	SC[C@@H]1NC(=O)N[C@@H](C1)C(=O)[O-]
4034	ZINC03776165	BISIFJGUTDFVFR-LLVKDONJSA-O	C1CC(C2=[NH+]C3=CC=CC=C3C(=C2C1)N)O
4035	ZINC03776578	KOZFSFOOLUUIGY-IYYJOCMQSA-N	COC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35
4036	ZINC03776592	CTPOHARTNNSRSR-RQOXEBALSA-M	CC#CC[C@H]([C@@H](/C=C/[C@H]1[C@H](O)C[C@H]2[C@@H]1c1cccc(c1O2)CCCC(=O)[O-])O)C
4037	ZINC03776693	OIDMNXKQVHXWLV-HNNXBMFYSA-L	CCN1C(=C(C(=O)OC(C)C)[C@@H](C(=C1C(=O)[O-])C(=O)[O-])c1ccccc1Cl)C
4038	ZINC03777328	KAGLWQUWUNBAOO-KSZLIROESA-P	O=C[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH2+]C)CCCNC(=[NH2+])N
4039	ZINC03777403	KSTLHIFHRSYIRF-UHFFFAOYSA-N	Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1cc(O)c(c(c1)O)O
4040	ZINC03777578	NNROJUAWMZCOPE-ZFWGQPRBSA-M	[O-]C(=O)/C=C(/C=C/C=C(/c1ccc2c(c1)C(C)(C)CCO2)\C)\C
4041	ZINC03777839	NUFNKYNBZYIQDG-UHFFFAOYSA-O	CCc1[nH+]c(N)nc(c1c1ccc(c(c1)[N+](=O)[O-])N(Cc1ccccc1)C)N
4042	ZINC03777854	UQGGPCQNHJCOPS-PKNBQFBNSA-N	CCCN1C2=C(C(=O)N(C1=O)CCC)N(C(=N2)C=CC3=CC(=C(C=C3)OC)OC)C
4043	ZINC03778381	JAKAFSGZUXCHLF-LSCFUAHRSA-N	CO[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2NC1CCCCC1)CO
4044	ZINC03778392	QMRJOIUGPCVZPH-UHFFFAOYSA-P	O=C(c1ccc(cc1)NC1=[NH+]CCN1)Oc1ccc2c(c1)ccc(c2)C(=[NH2+])N
4045	ZINC03778441	GDFGTRDCCWFXTG-ZIFCJYIRSA-O	CCC[NH+]1C[C@H](C[C@H]2[C@H]1Cc1cccc(c1C2)O)NS(=O)(=O)N(CC)CC
4046	ZINC03778636	KLVDUSUYBDMJKR-SANMLTNESA-M	[O-]C(=O)[C@@H]1Cc2c(CN1C(=O)C(c1ccccc1)c1ccccc1)ncn2Cc1ccc(c(c1)C)N
4047	ZINC03778874	HPJKCIUCZWXJDR-UHFFFAOYSA-N	N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3
4048	ZINC03779042	HBOMLICNUCNMMY-XLPZGREQSA-N	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]
4049	ZINC03779067	YBHILYKTIRIUTE-UHFFFAOYSA-N	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
4050	ZINC03779075	YWYUQSGYKDEAMJ-QFIPXVFZSA-M	CCCc1c(OCCCOc2ccc(c(c2CC2CC2)OC)C(=O)NC)ccc2c1O[C@H](CCC(=O)[O-])CC2
4051	ZINC03779247	MKEGUJPBCIXABO-GFCCVEGCSA-O	COc1ccc2c(c1)c(c[nH]2)C[C@H]1CCC[NH+]1C
4052	ZINC03779696	FDEACFAXFCKCHZ-MOROJQBDSA-N	CCCCC#CC1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)C(=O)NCC)O)O
4053	ZINC03779708	FJJZLLDDYQTGGH-ZHACJKMWSA-O	C[NH+](CCCN(c1nc2cc(Cl)c(cc2nc1/C=C/c1ccccc1)Cl)C)C
4054	ZINC03780014	NITYDPDXAAFEIT-DYVFJYSZSA-N	CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC
4055	ZINC03780340	BTXNYTINYBABQR-UHFFFAOYSA-N	CC1=CC(=C2C3=C1C4=C5C(=C(C=C4C)O)C(=O)C6=C(C=C(C7=C6C5=C3C8=C7C(=CC(=C8C2=O)O)O)O)O)O
4056	ZINC03780343	LUBHDINQXIHVLS-UHFFFAOYSA-M	CN(CC(=O)[O-])C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC
4057	ZINC03780812	QDFCXLJPTBSDPF-BFDPJXHCSA-N	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4[N+](=O)[O-])OC
4058	ZINC03780852	UQWLOWFDKAFKAP-WXHSDQCUSA-M	CC(CS)C(=O)N1CC(CC1C(=O)[O-])SC2=CC=CC=C2
4059	ZINC03780893	RYMZZMVNJRMUDD-HGQWONQESA-N	CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
4060	ZINC03780900	SYZSSLLFRVDRHL-QPJJXVBHSA-L	COc1ccc(cc1)/C=C/CCCCOc1ccc(cc1CCC(=O)[O-])C(=O)c1cccc(c1)C(=O)[O-]
4061	ZINC03780965	VUWXAQFLTSBUDB-UHFFFAOYSA-N	CCCCCCN(CCCCCC)C(=O)CC1=C(NC2=CC=CC=C21)C3=CC=C(C=C3)F
4062	ZINC03780994	LFMMKOQRKPJBIG-HSZRJFAPSA-M	CCCCCN(C(=O)[C@H](NC(=O)c1ccc2c(c1)cccc2)CCC(=O)[O-])CCCCC
4063	ZINC03781664	FASDKYOPVNHBLU-ZETCQYMHSA-O	[H+].CCCNC1CCC2=C(C1)SC(=N2)N
4064	ZINC03781835	KSPYMJJKQMWWNB-UHFFFAOYSA-N	C1CC1CN2C3=C(C(=O)N(C2=O)CC4CC4)NC(=N3)N
4065	ZINC03781942	ZVNYJIZDIRKMBF-UHFFFAOYSA-N	COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C3=CC4=C(C=C3)NC(=O)CC4)OC
4066	ZINC03781952	MJJALKDDGIKVBE-UHFFFAOYSA-O	O=C(c1ccc(cc1)C(C)(C)C)CCC[NH+]1CCC(CC1)OC(c1ccccc1)c1ccccc1
4067	ZINC03782183	IEKOTSCYBBDIJC-LJQANCHMSA-M	CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl
4068	ZINC03782203	UADPGHINQMWEAG-AORWBKJGSA-M	C1CC2=CC=CC=C2[C@@H](/C(=C/C(=O)[O-])/C1)O
4069	ZINC03782341	UPNUIXSCZBYVBB-DMJCMNNJSA-N	CC1CN(CCC1(C)C2=CC(=CC=C2)O)CC(CC3=CC=CC=C3)C(=O)NCC(=O)O
4070	ZINC03782486	HBNPJJILLOYFJU-VMPREFPWSA-O	COCC(=O)O[C@]1(CC[NH+](CCCc2nc3c([nH]2)cccc3)C)CCc2c([C@@H]1C(C)C)ccc(c2)F
4071	ZINC03782517	QLJOSZATCBCBDR-DFKUFRTHSA-O	C1C2CC3CC1CC(C2)(C3)C4CC5=C(C=CC(=C5O)O)C(O4)C[NH3+]
4072	ZINC03782599	DBEPLOCGEIEOCV-WSBQPABSSA-N	CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
4073	ZINC03782818	BSLSLQSFLOCXQQ-UHFFFAOYSA-L	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=N[N-]5)C(=O)[O-]
4074	ZINC03782835	FPKOGTAFKSLZLD-FQEVSTJZSA-N	C1CN(CCC1OCC(=O)O)C(=O)C(CC2=CC=C(C=C2)O)NC(=O)C3=CC=C(C=C3)C(=N)N
4075	ZINC03782839	DSEPKSLFXGYPIU-MRXNPFEDSA-O	CCC[NH+]([C@@H]1CCc2c(C1)c1c(C=O)c[nH]c1cc2)CCC
4076	ZINC03783066	YSTVFDAKLDMYCR-NDEPHWFRSA-M	CC1=C(C=CC(=C1)CN2C=NC3=C2CC(N(C3)C(=O)C(C4=CC=CC=C4)C5=CC=CC=C5)C(=O)[O-])N(C)C
4077	ZINC03783527	BCDQJEIWMPKATR-XMMPIXPASA-N	O=C(CC([NH3+])(C)C)N[C@@H]1CCc2c(N(C1=O)Cc1ccc(cc1)c1ccccc1c1[n-]nnn1)cccc2
4078	ZINC03783566	VYNIUBZKEWJOJP-UNMCSNQZSA-N	C1C(OC(O1)(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)CSC4=CC=C(C=C4)N
4079	ZINC03783617	LVVHEFJXPXAUDD-BULFRSBZSA-O	O[C@H](C1CCCCC1)CC[NH+]1CC[C@@]([C@H](C1)C)(C)c1cccc(c1)O
4080	ZINC03783756	FXGHOAZJQNLNFD-QGZVFWFLSA-O	C[NH+](C[C@@H]1CCn2c(C1)c(C1=C(C(=O)NC1=O)c1cn(c3c1cccc3)C)c1c2cccc1)C
4081	ZINC03783980	GHWJEDJMOVUXEC-CYBMUJFWSA-O	C1C[NH2+]CC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3
4082	ZINC03784077	SZWKGOZKRMMLAJ-UHFFFAOYSA-M	O=C(c1ccc2c(c1)C(C)(C)CCC2(C)C)Nc1ccc(cc1)C(=O)[O-]
4083	ZINC03784103	PHWUGPWQJTXVQO-XMMPIXPASA-N	COC1(CCC2=C1C=C(C=C2)OCC3=CC4=CC=CC=C4C=C3)C5=NC=CS5
4084	ZINC03784120	HIFJCPQKFCZDDL-GBSCXWAGSA-M	CC#CC[C@H]([C@@H](/C=C/[C@H]1[C@H](O)C[C@H]2[C@@H]1C/C(=C/CCCC(=O)[O-])/C2)O)C
4085	ZINC03784127	AXUZQJFHDNNPFG-JORPFSLRSA-M	CN(C)C(=O)CCSC(C1=CC=CC(=C1)C=CC2=NC3=C(C=CC(=C3)Cl)C=C2)SCCC(=O)[O-]
4086	ZINC03784182	LZCDAPDGXCYOEH-UHFFFAOYSA-M	COc1ccc(cc1C12CC3CC(C2)CC(C1)C3)c1ccc2c(c1)ccc(c2)C(=O)[O-]
4087	ZINC03784334	NISYUISLCKAJCY-UHFFFAOYSA-N	CCc1nc(CC)c2c(c1)N(Cc1ccc(cc1)c1ccccc1c1[n-]nnn1)C(=O)CC2
4088	ZINC03784397	AXUZQJFHDNNPFG-LHAVAQOQSA-M	CN(C)C(=O)CCSC(C1=CC=CC(=C1)C=CC2=NC3=C(C=CC(=C3)Cl)C=C2)SCCC(=O)[O-]
4089	ZINC03785147	KXHZWUUTWSKONE-UHFFFAOYSA-P	C1=CC(=CC=C1C(=N)[NH3+])OCCCCOC2=CC=C(C=C2)C(=N)[NH3+]
4090	ZINC03785159	GQRIAOUUYRIMLH-OAHLLOKOSA-O	CCC[NH+]1CCC[C@H](C1)c1cccc(c1)C#N
4091	ZINC03785268	GIIZNNXWQWCKIB-RUZDIDTESA-O	C1=CC=C(C=C1)CCCCOCCCCCC[NH2+]CC(C2=CC(=C(C=C2)O)CO)O
4092	ZINC03785745	SIIICDNNMDMWCI-YJNKXOJESA-O	COC(=O)[C@H]1[C@H](C[C@H]2[NH+]([C@@H]1CC2)C)c1ccc(cc1)I
4093	ZINC03786099	ILLGYRJAYAAAEW-QMMMGPOBSA-O	C[NH+]1CCC[C@H]1c1onc(c1)C
4094	ZINC03786156	ASEICNBZJHLFCN-UHFFFAOYSA-O	COC(=O)[C@H]1CNC=[NH+]C1
4095	ZINC03786169	USADHMZWJIGMJJ-UHFFFAOYSA-O	CCOC(=O)[C@H]1CNC=[NH+]C1
4096	ZINC03786250	YCXFHPUBGMMWJQ-PMERELPUSA-N	CC1=CC(=CC=C1)NC(=O)NC2C(=O)N(C3=CC=CC=C3C(=N2)C4=CC=CC=C4)CC(=O)C5=CC=CC=C5C
4097	ZINC03786304	RQWQKCGUHPBBFV-UHFFFAOYSA-N	CCCc1nc2c(n1Cc1ccc(cc1)c1ccccc1c1[n-]nnn1)C(=O)CCCC2
4098	ZINC03786360	CANPFCFJURGKAX-JTQLQIEISA-O	COc1ccc(c(c1C(=O)NC[C@@H]1CCC[NH+]1CC)O)I
4099	ZINC03786387	XLMPPFTZALNBFS-MRXNPFEDSA-N	CN1C2=C(C=CC(=C2)C(C3=CC=C(C=C3)Cl)N4C=NC=N4)N=N1
4100	ZINC03786466	YEHCICAEULNIGD-MZMPZRCHSA-O	CCC[NH+]1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC
4101	ZINC03786476	OUUOWZGDTCPVSV-INIZCTEOSA-N	C1CO[C@@]2(N1C(=O)C3=CC=CC=C32)C4=CC=CC=C4
4102	ZINC03786562	XTZUPNNVXIMWAR-UHFFFAOYSA-N	CCCCCCN(CCCCCC)C(=O)CC1=C(NC2=C1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl
4103	ZINC03786875	VAYJLOGCWOXMAS-UHFFFAOYSA-O	COc1cc(ccc1OCCCCCOc1ccc(cc1)C(=[NH2+])N)C(=O)N(C(C)C)C(C)C
4104	ZINC03787060	LPQZKKCYTLCDGQ-WEDXCCLWSA-M	CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)[O-])CN3C=CN=N3
4105	ZINC03787591	JKYJSFISYHSNOE-OAQYLSRUSA-N	[O-]C(=O)COc1cccc(c1)[C@H](N(C(=O)Cc1ccc(c(c1)Cl)Cl)C)C[NH+]1CCCC1
4106	ZINC03788703	FZNCGRZWXLXZSZ-CIQUZCHMSA-O	C1C(C(C(C(C1(CO)O)O)O)O)[NH2+]C(CO)CO
4107	ZINC03789195	NOFOAYPPHIUXJR-APNQCZIXSA-N	CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O
4108	ZINC03789437	IEKOTSCYBBDIJC-IBGZPJMESA-M	CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl
4109	ZINC03789440	QNQZBKQEIFTHFZ-SFHVURJKSA-M	CCCCCN(C(=O)[C@@H](NC(=O)c1ccc(c(c1)Cl)Cl)CCC(=O)[O-])CCCOC
4110	ZINC03789766	WAAPEIZFCHNLKK-UFBFGSQYSA-N	C1C(OC2=C(C13C(=O)NC(=O)N3)C=C(C=C2)F)C(=O)N
4111	ZINC03789788	XFILPEOLDIKJHX-QYZOEREBSA-N	CC(C)CC(C(CSC1=CC=CS1)C(=O)NO)C(=O)NC(CC2=CC=CC=C2)C(=O)NC
4112	ZINC03790076	HDTOQYUZMCNTBZ-JTQLQIEISA-O	C[NH+]1CCC2(CC1)CC(=C)[C@@H](O2)C
4113	ZINC03790774	GAYSOZKZPOVDSB-HZMBPMFUSA-O	COc1cc(N)c(cc1C(=O)NC[C@@H]1CC[NH+]2[C@H]1CCC2)Cl
4114	ZINC03791107	AGRCGQSFFMCBRE-ZEQRLZLVSA-O	CC(=[NH2+])N1CC[C@@H](C1)Oc1ccc(cc1)[C@@H](C(=O)[O-])Cc1ccc2c(c1)cc(cc2)C(=[NH2+])N
4115	ZINC03791538	XLMPPFTZALNBFS-INIZCTEOSA-N	CN1C2=C(C=CC(=C2)C(C3=CC=C(C=C3)Cl)N4C=NC=N4)N=N1
4116	ZINC03791739	KTDZCOWXCWUPEO-UHFFFAOYSA-N	CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2CCCCC2
4117	ZINC03791818	HCKUBNLZMKAEIN-GSVOUGTGSA-O	O=C1[C@H]([NH3+])CCN1O
4118	ZINC03791874	IEXLNMCXTFFDIL-QWRGUYRKSA-M	SC[C@@H]1CCCCCCCSC[C@H](NC1=O)C(=O)[O-]
4119	ZINC03791923	RCYLUNPFECYGDW-SJLPKXTDSA-N	CCC(=O)NC1CC(C2=CC=CC=C2C1)C3=CC=CC=C3
4120	ZINC03792122	BZGOUBAJQDKNIK-LLVKDONJSA-N	ClCC(=O)N[C@@H]1CCc2c(C1)cccc2
4121	ZINC03792127	RVIGBTUDFAGRTQ-LLVKDONJSA-N	CCC(=O)NC1CCC2=C(C1)C(=CC=C2)OC
4122	ZINC03792165	ONKAPNPOBBUQAF-IBGZPJMESA-O	c1ccc(cc1)c1ccc(cc1)[C@@H]1C[NH+]2CCC1CC2
4123	ZINC03792789	SHGAZHPCJJPHSC-XFYACQKRSA-M	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)[O-])C)C
4124	ZINC03792990	HJUAKZYKCANOOZ-OAHLLOKOSA-O	COC(=O)N1CCN([C@@H](C1)C[NH+]1CCCC1)C(=O)Cc1ccc(c(c1)Cl)Cl
4125	ZINC03793091	BBPRUNPUJIUXSE-DXKRWKNPSA-M	CCCCCNC(=O)C1=COC(=N1)C2C3CCC(C2CC4=CC=CC=C4CCC(=O)[O-])O3
4126	ZINC03793347	YPFIYPNOWVPAPR-OAHLLOKOSA-O	C[NH+]1CCCC1CC2=CNC3=C2C=C(C=C3)NC4=C(C=CC=N4)[N+](=O)[O-]
4127	ZINC03794314	RJNDVCNWVBWHLY-YVUOLYODSA-M	C1CC2C(C(C1O2)CC=CCCCC(=O)[O-])CNNC(=O)NC3=CC=CC=C3
4128	ZINC03794416	BRXHBAFNICPNFH-SREIQFSDSA-M	[O-]C(=O)C[C@]1(O)C[C@@H](C)Oc2c1cc(F)c(c2)Cl
4129	ZINC03794601	WSEQXVZVJXJVFP-HXUWFJFHSA-O	C[NH+](C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
4130	ZINC03794612	BCUGCHZRMKTPMU-UHFFFAOYSA-P	CC[NH+](CCCCC1CC[NH+](CC1)CC(=O)n1c2ccccc2c(=O)[nH]c2c1nccc2)CC
4131	ZINC03794711	UQRORFVVSGFNRO-UTINFBMNSA-O	CCCC[NH+]1CC(C(C(C1CO)O)O)O
4132	ZINC03794714	LXBIFEVIBLOUGU-JGWLITMVSA-O	OC[C@H]1[NH2+]C[C@@H]([C@H]([C@@H]1O)O)O
