Index	DBID	InChIKey
386911	DB00241	UZVHFVZFNXBMQJ-UHFFFAOYSA-N
147726	DB00242	PTOAARAWEBMLNO-KVQBGUIXSA-N
218544	DB00243	XKLMZUWKNUAPSZ-UHFFFAOYSA-N
211540	DB00244	KBOPZPXVLCULAV-UHFFFAOYSA-N
163298	DB00245	GIJXKZJWITVLHI-PMOLBWCYSA-N
132642	DB00246	MVWVFYHBGMAFLY-UHFFFAOYSA-N
386912	DB00247	KPJZHOPZRAFDTN-NQUBZZJWSA-N
386319	DB00248	KORNTPPJEAJQIU-KJXAQDMKSA-N
289516	DB00249	XQFRJNBWHJMXHO-RRKCRQDMSA-N
225062	DB00250	MQJKPEGWNLWLTK-UHFFFAOYSA-N
59881	DB00251	BLSQLHNBWJLIBQ-OZXSUGGESA-N
213115	DB00252	CXOFVDLJLONNDW-UHFFFAOYSA-N
386604	DB00253	GZENKSODFLBBHQ-ILSZZQPISA-N
143894	DB00254	JBIWCJUYHHGXTC-AKNGSSGZSA-N
264494	DB00255	RGLYKWWBQGJZGM-ISLYRVAYSA-N
386605	DB00256	AHEVKYYGXVEWNO-UEPZRUIBSA-N
370293	DB00257	VNFPBHJOKIVQEB-UHFFFAOYSA-N
206511	DB00259	FDDDEECHVMSUSB-UHFFFAOYSA-N
146710	DB00260	DYDCUQKUCUHJBH-UWTATZPHSA-N
274010	DB00261	OTBXOEAOVRKTNQ-UHFFFAOYSA-N
205312	DB00262	DLGOEMSEDOSKAD-UHFFFAOYSA-N
138421	DB00263	NHUHCSRWZMLRLA-UHFFFAOYSA-N
225218	DB00264	IUBSYMUCCVWXPE-UHFFFAOYSA-N
35185	DB00265	DNTGGZPQPQTDQF-XBXARRHUSA-N
131240	DB00266	DOBMPNYZJYQDGZ-UHFFFAOYSA-N
386913	DB00267	HJJDBAOLQAWBMH-YCRCPZNHSA-N
94503	DB00268	UHSKFQJFRQCDBE-UHFFFAOYSA-N
139423	DB00270	HMJIYCCIJYRONP-UHFFFAOYSA-N
127276	DB00271	YVPYQUNUQOZFHG-UHFFFAOYSA-N
386914	DB00272	JXDFEQONERDKSS-UHFFFAOYSA-N
291440	DB00273	KJADKKWYZYXHBB-XBWDGYHZSA-N
145187	DB00274	SNBUBQHDYVFSQF-HIFRSBDPSA-N
335530	DB00275	VTRAEEWXHOVJFV-UHFFFAOYSA-N
52798	DB00276	XCPGHVQEEXUHNC-UHFFFAOYSA-N
175149	DB00277	ZFXYFBGIUFBOJW-UHFFFAOYSA-N
386320	DB00278	KXNPVXPOPUZYGB-XYVMCAHJSA-N
237854	DB00279	AUYYCJSJGJYCDS-LBPRGKRZSA-N
367305	DB00280	UVTNFZQICZKOEM-UHFFFAOYSA-N
55365	DB00281	NNJVILVZKWQKPM-UHFFFAOYSA-N
13874	DB00282	WRUUGTRCQOWXEG-UHFFFAOYSA-N
106605	DB00283	YNNUSGIPVFPVBX-NHCUHLMSSA-N
